timestamp, low_ask, low_bid, high_ask, high_bid
2019-07-22T05:00:00,2973.61,2974.21,2980.86,2981.46
2019-07-22T07:00:00,2976.36,2976.96,2982.86,2983.46
2019-07-22T09:00:00,2979.86,2980.46,2984.86,2985.46
2019-07-22T11:00:00,2978.73,2979.33,2985.36,2985.96
2019-07-22T13:00:00,2976.27,2976.67,2986.71,2987.11
2019-07-22T15:00:00,2976.27,2976.67,2986.77,2987.17
2019-07-22T17:00:00,2983.52,2983.92,2987.02,2987.42
2019-07-22T19:00:00,2982.52,2982.92,2991.02,2991.42
2019-07-22T21:00:00,2985.87,2986.47,2988.24,2988.84
2019-07-22T23:00:00,2985.12,2985.72,2990.62,2991.22
2019-07-23T01:00:00,2988.62,2989.22,2992.37,2992.97
2019-07-23T03:00:00,2988.87,2989.47,2990.37,2990.97
2019-07-23T05:00:00,2986.62,2987.22,2989.87,2990.47
2019-07-23T07:00:00,2988.62,2989.22,2993.87,2994.47
2019-07-23T09:00:00,2992.37,2992.97,2995.87,2996.47
2019-07-23T11:00:00,2994.37,2994.97,2998.37,2998.97
2019-07-23T13:00:00,2988.5,2988.9,2998.12,2998.72
2019-07-23T15:00:00,2988.0,2988.4,2994.75,2995.15
2019-07-23T17:00:00,2993.09,2993.49,3004.59,3004.99
2019-07-23T19:00:00,2997.99,2998.59,3005.99,3006.87
2019-07-23T21:00:00,2999.65,3000.59,3002.37,3002.97
2019-07-23T23:00:00,3000.12,3000.72,3003.12,3003.72
2019-07-24T01:00:00,3001.37,3001.97,3005.62,3006.22
2019-07-24T03:00:00,3003.87,3004.47,3005.87,3006.47
2019-07-24T05:00:00,3001.87,3002.47,3003.99,3004.59
2019-07-24T07:00:00,2994.12,2994.72,3002.62,3003.22
2019-07-24T09:00:00,2993.62,2994.22,2999.12,2999.72
2019-07-24T11:00:00,2996.12,2996.72,2999.99,3000.59
2019-07-24T13:00:00,2996.22,2996.62,3010.47,3010.87
2019-07-24T15:00:00,3002.47,3002.87,3010.22,3010.62
2019-07-24T17:00:00,3007.97,3008.37,3014.97,3015.37
2019-07-24T19:00:00,3013.72,3014.12,3020.03,3020.63
2019-07-24T21:00:00,3014.54,3016.04,3018.28,3018.88
2019-07-24T23:00:00,3017.03,3017.63,3019.53,3020.13
2019-07-25T01:00:00,3017.28,3017.88,3020.03,3020.63
2019-07-25T03:00:00,3019.15,3019.75,3020.78,3021.38
2019-07-25T05:00:00,3020.03,3020.63,3022.53,3023.13
2019-07-25T07:00:00,3018.53,3019.13,3022.28,3022.88
2019-07-25T09:00:00,3017.03,3017.63,3021.15,3021.75
2019-07-25T11:00:00,3017.53,3018.13,3025.53,3026.13
2019-07-25T13:00:00,3003.03,3003.43,3021.03,3021.63
2019-07-25T15:00:00,2996.78,2997.18,3014.56,3014.96
2019-07-25T17:00:00,2998.03,2998.43,3008.78,3009.18
2019-07-25T19:00:00,2999.03,2999.43,3007.69,3008.29
2019-07-25T21:00:00,3002.8,3004.3,3006.57,3007.66
2019-07-25T23:00:00,3005.57,3006.17,3009.07,3009.67
2019-07-26T01:00:00,3007.57,3008.17,3012.07,3012.67
2019-07-26T03:00:00,3010.82,3011.42,3013.07,3013.67
2019-07-26T05:00:00,3010.32,3010.92,3012.82,3013.42
2019-07-26T07:00:00,3008.82,3009.42,3011.82,3012.42
2019-07-26T09:00:00,3010.32,3010.92,3015.57,3016.17
2019-07-26T11:00:00,3008.57,3009.17,3014.32,3014.92
2019-07-26T13:00:00,3011.82,3012.32,3019.17,3019.57
2019-07-26T15:00:00,3016.72,3017.12,3023.72,3024.12
2019-07-26T17:00:00,3022.07,3022.47,3026.57,3026.97
2019-07-26T19:00:00,3021.19,3021.79,3027.93,3028.33
